file,raw_bytes,gzip_bytes
About-CO9malIP.js,18023,6549
AboutPage-BzftNsMH.js,667,379
BlogPage-kWnkx4Wh.js,1824,896
Contact-BE-SVc4f.js,16460,6473
ContactPage-DFqN9kfZ.js,346,241
Education-N2CQRN6j.js,1784,738
Experience-BHFKUNlu.js,1331,650
HomePage-CPtHaCiv.js,38690,13347
Projects-D70z_lzB.js,5459,1853
SectionHeader-DqQ7beMb.js,876,470
Skills-Cinc4tDU.js,1374,759
WorkDetailPage-C59q6G_V.js,3387,1140
WorkPage-CDYEbeGQ.js,1819,861
experience-5URM7WiR.js,790,465
index-Dg7Q-XDV.js,23231,8518
index-LnTidUtm.css,23858,5427
projects-BrrCBR9h.js,3394,1590
vendor-forms-VthWDbdP.js,80742,22194
vendor-gsap-l0sNRNKZ.js,1,21
vendor-lenis-8VXe07GT.js,19188,5529
vendor-motion-tsJO4J3R.js,115107,38205
vendor-react-Ci1EZuaO.js,162054,52924
vendor-ui-DQOWJHt1.js,37425,12543
index.html,3453,1222
TOTAL,561283,182994
